game_id,game_date,season,home_team,away_team,home_score,away_score,total_score,score_diff,closeness,lead_changes,times_tied,largest_lead,threes_made,three_pt_pct,fast_break_pts,paint_pts,to_pts,star,steals,blocks,clutch_ending,overtime,PR_total_score,PR_closeness,PR_lead_changes,PR_times_tied,PR_threes_made,PR_three_pt_pct,PR_steals,PR_blocks,PR_clutch_ending,PR_overtime,PR_star,PR_fast_break_pts,PR_paint_pts,PR_to_pts,Scoring,Competitiveness,Highlights,WatchIndex
0022400670,2025-01-29,2024-25,NOP,DAL,136,137,273,1,0.9963369963369964,17,10,10,35.0,0.47297297297297297,37,110,38,2.32259,19.0,12.0,1,0,0.9869857262804366,0.998320738874895,0.9340890008396305,0.8837111670864819,0.9139378673383711,0.9697732997481109,0.7384550797649034,0.7590260285474392,0.8740554156171285,0.5004198152812762,0.7241813602015114,0.7586062132661628,0.8089840470193115,0.6599496221662469,0.8326511335012594,0.9095398024869057,0.734928631402183,0.8612157733930403
0022400814,2025-02-23,2024-25,ATL,DET,143,148,291,5,0.9828178694158075,24,8,12,41.0,0.4823529411764706,45,114,50,2.31539,17.0,11.0,1,0,0.998320738874895,0.8287153652392947,0.9865659109991604,0.7997481108312342,0.9874055415617129,0.9781696053736356,0.5680100755667506,0.6746431570109152,0.8740554156171285,0.5004198152812762,0.7178841309823678,0.9361880772460117,0.8593618807724601,0.9475230898404702,0.8545340050377834,0.8347727000119947,0.8125104953820319,0.8360026588301147
0022400762,2025-02-10,2024-25,DAL,SAC,128,129,257,1,0.9961089494163424,28,17,12,24.0,0.38095238095238093,41,140,51,2.153863,14.0,7.0,1,0,0.9290512174643157,0.9966414777497901,0.9945424013434089,0.9895046179680941,0.3341729638958858,0.6507136859781696,0.3152812762384551,0.25482787573467675,0.8740554156171285,0.5004198152812762,0.5701091519731318,0.8694374475230898,0.9953820319059614,0.9575986565910999,0.7018786733837112,0.9252928711366999,0.6533165407220822,0.8241099332960165
0022400535,2025-01-11,2024-25,MIN,MEM,125,127,252,2,0.9920634920634921,25,22,6,33.0,0.39759036144578314,30,118,44,2.247512,20.0,8.0,1,0,0.8916876574307305,0.9487825356842989,0.9899244332493703,0.9987405541561712,0.8690176322418136,0.7539882451721243,0.8052057094878253,0.35768261964735515,0.8740554156171285,0.5004198152812762,0.654911838790932,0.48866498740554154,0.9055415617128464,0.8530646515533166,0.7863140218303946,0.9020630922394148,0.598656591099916,0.8225580744472433
0022400878,2025-03-03,2024-25,MEM,ATL,130,132,262,2,0.9923664122137404,18,15,13,26.0,0.4262295081967213,27,140,42,2.346197,19.0,10.0,1,0,0.9584382871536524,0.9521410579345088,0.9462636439966414,0.9773299748110831,0.45801847187237615,0.8753148614609572,0.7384550797649034,0.5789252728799328,0.8740554156171285,0.5004198152812762,0.7363560033585222,0.3635600335852225,0.9953820319059614,0.8014273719563392,0.8114504617968095,0.8943264963416097,0.569185558354324,0.8194173313741953
0022400681,2025-01-31,2024-25,PHI,DEN,134,137,271,3,0.988929889298893,16,6,9,33.0,0.5238095238095238,40,124,48,2.1847380000000003,19.0,5.0,1,0,0.984047019311503,0.8958858102434929,0.9185558354324097,0.672544080604534,0.8690176322418136,0.9970612930310663,0.7384550797649034,0.09697732997481108,0.8740554156171285,0.5004198152812762,0.600335852225021,0.8446683459277917,0.9575986565910999,0.9219143576826196,0.8207913518052057,0.8477469913238176,0.6893366918555835,0.8146063648661256
0022400986,2025-03-17,2024-25,MIN,IND,130,132,262,2,0.9923664122137404,29,19,15,30.0,0.379746835443038,39,112,41,1.951126,18.0,13.0,1,0,0.9584382871536524,0.9521410579345088,0.9958018471872376,0.9953820319059614,0.716624685138539,0.6448362720403022,0.6553316540722083,0.8316540722082284,0.8740554156171285,0.5004198152812762,0.32157850545759864,0.818639798488665,0.834592779177162,0.7695214105793451,0.6192275398824517,0.9046219663348127,0.7787573467674223,0.8122959231271575
0022400334,2024-12-06,2024-25,ATL,LAL,134,132,266,2,0.9924812030075187,32,17,11,33.0,0.44,30,108,41,1.8620459999999999,21.0,15.0,1,0,0.9748110831234257,0.9538203190596137,0.9987405541561712,0.9895046179680941,0.8690176322418136,0.9210747271200672,0.8593618807724601,0.9265323257766582,0.8740554156171285,0.5004198152812762,0.21914357682619648,0.48866498740554154,0.7703610411418975,0.7695214105793451,0.6203820319059614,0.9057014913438086,0.7065491183879093,0.8011795643250302
0022401102,2025-04-01,2024-25,DEN,MIN,139,140,279,1,0.996415770609319,21,13,16,31.0,0.36904761904761907,56,124,36,1.848664,12.0,9.0,1,0,0.9920235096557515,0.9991603694374476,0.9706129303106633,0.9554995801847187,0.7766582703610412,0.5717884130982368,0.18681780016792612,0.47019311502938704,0.8740554156171285,0.5004198152812762,0.20235096557514692,0.9962216624685138,0.9575986565910999,0.5877413937867338,0.6078400503778338,0.920315061372996,0.6474391267842149,0.7967169861927418
0022400832,2025-02-25,2024-25,MEM,PHX,151,148,299,3,0.9899665551839465,23,22,10,41.0,0.4823529411764706,47,86,30,2.278749,16.0,10.0,1,0,1.0,0.8975650713685979,0.984047019311503,0.9987405541561712,0.9874055415617129,0.9781696053736356,0.4794290512174643,0.5789252728799328,0.8740554156171285,0.5004198152812762,0.6767422334172963,0.9596977329974811,0.2313182199832074,0.3140218303946264,0.6823047858942066,0.8765543161009157,0.6583543240973971,0.7916252682153186
